Date,Open,High,Low,Close,Volume,Adj Close
2015-03-23,16.459999,18.299999,16.440001,17.139999,29902000,17.139999
2015-03-16,16.469999,16.799999,15.61,16.43,37443900,16.43
2015-03-09,18.18,18.639999,16.67,16.799999,28940700,16.799999
2015-03-02,18.129999,19.10,17.969999,18.24,25953100,18.24
2015-02-23,18.17,18.799999,17.58,18.10,34986100,18.10
2015-02-17,19.379999,20.190001,18.389999,18.65,33104000,18.65
2015-02-09,19.780001,20.18,18.01,19.620001,33513000,19.620001
2015-02-02,18.40,20.290001,17.93,19.469999,55244100,19.469999
2015-01-26,17.00,18.07,16.299999,17.82,33652200,17.82
2015-01-20,17.67,18.030001,16.959999,17.00,30623300,17.00
2015-01-12,17.76,18.610001,17.10,18.33,38794100,18.33
2015-01-05,19.33,19.360001,17.860001,18.280001,31654900,18.280001
2014-12-29,20.950001,20.950001,19.690001,19.889999,21030300,19.889999
2014-12-22,21.389999,21.77,20.629999,20.780001,14769300,20.780001
2014-12-15,21.959999,22.43,20.530001,21.959999,36367000,21.959999
2014-12-08,24.48,24.50,21.809999,21.93,20322900,21.93
2014-12-01,25.309999,26.389999,24.73,24.959999,15420300,24.959999
2014-11-24,28.90,29.23,25.459999,25.58,17122600,25.58
2014-11-17,28.459999,29.139999,28.10,29.10,7566100,29.10
2014-11-10,30.17,30.17,28.10,28.83,8805300,28.83
2014-11-03,30.51,30.719999,28.889999,29.76,11667300,29.76
2014-10-27,30.290001,31.450001,30.16,30.629999,5519600,30.629999
2014-10-20,31.09,31.60,30.459999,30.879999,6667800,30.879999
2014-10-13,32.040001,32.32,30.200001,31.25,12340200,31.25
2014-10-06,33.77,34.150002,31.74,32.18,6367600,32.18
2014-09-29,35.00,35.619999,33.639999,33.77,7371700,33.77
2014-09-22,34.41,35.32,34.029999,35.16,4026200,35.16
2014-09-15,34.220001,35.419998,34.189999,34.57,4249300,34.57
2014-09-08,34.290001,34.82,33.91,34.380001,4463500,34.380001
2014-09-02,35.279999,35.759998,34.599998,34.900002,4630000,34.900002
2014-08-25,34.799999,35.830002,34.740002,35.759998,2928200,35.759998
2014-08-18,35.110001,35.259998,34.580002,34.959999,3555900,34.959999
2014-08-11,36.23,36.459999,35.040001,35.439999,4087600,35.439999
2014-08-04,36.200001,36.560001,35.82,36.119999,3099500,36.119999
2014-07-28,37.52,37.810001,35.98,36.189999,3793300,36.189999
2014-07-21,37.84,38.299999,37.419998,37.77,2537200,37.77
2014-07-14,37.060001,37.91,36.580002,37.720001,4927600,37.720001
2014-07-07,38.27,38.419998,37.040001,37.16,3660800,37.16
2014-06-30,38.939999,39.119999,38.240002,38.25,2076500,38.25
2014-06-23,39.290001,39.32,38.740002,38.98,1958000,38.98
2014-06-16,39.189999,39.439999,38.779999,39.32,2254800,39.32
2014-06-09,37.970001,39.279999,37.939999,39.119999,2954300,39.119999
2014-06-02,37.52,37.970001,37.209999,37.610001,1657200,37.610001
2014-05-27,38.00,38.169998,37.490002,37.68,1385200,37.68
2014-05-19,37.419998,38.27,37.240002,38.18,2707600,38.18
2014-05-12,36.639999,37.34,36.52,37.23,1841800,37.23
2014-05-05,36.259998,36.77,35.959999,36.400002,1756000,36.400002
2014-04-28,36.740002,37.150002,35.970001,36.290001,2157600,36.290001
2014-04-21,37.59,37.759998,36.529999,36.599998,2046100,36.599998
2014-04-14,37.34,37.810001,37.25,37.66,2954200,37.66
